site,habitat,herb_type,herbivory_cm2,plot_diversitySP,plot_diversitySP,ACA_BUR ,ACA_CAF,ACA_GER,ACA_GRA,ACA_KAR,ACA_NIG,ACA_NIL,ACA_ROB,BER_ZEY,BER_LUC,BRA_ILL,CAN_INE,CEL_AFR,CHA_ARI,COM_MOL,COR_CAF,DIC_CIN,DIO_DIC,DIO_NAT,DIO_SIM,DOM_ROT,DRY_ARG,ENG_NAT,ERY_EMA,EUC_DIV,EUC_NAT,EUC_RAC,GRE_FLA,GYM_BUX,GYM_HAR,GYM_MAR,HIP_PAU,KRA_FLO,OLE_EUR,ORM_TRI,PLE_ARM,RAW_LUC,RHU_PEN,SCH_BRA,SCL_BIR,SCO_ZEY ,SCU_MYR,SID_INE,SPI_AFR,TAR_CAM,TAR_PAV,ZAN_CAP,ZIZ_MUC
F1,forest,chewing,276.1364687,,,0,0,0,0,0,0,0,0,0,0,0,3.620416667,25.21037688,0,0,0,0,0,0,0,0,0,246.3851531,0.920522105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F4,forest,chewing,445.0380867,,,0,0,0,0,0,0,0,0,0,0,0,6.637430556,28.8118593,1.48960199,0,0,0,0,0,0,0,3.754814433,369.9718197,0.328757895,0,0,0,0,0,10.31129808,0,0,0,0,0,0,19.20133588,0,0,0,4.531168831,0,0,0,0,0,0,0
F5,forest,chewing,251.9753244,,,0,0,0,0,0,0,0,0,0,0,0,0,115.2474372,1.48960199,0,0,0,0,0,0,0,34.86613402,77.71457483,0,0,0,0,0,0,0,0,0,0,0,0,0,22.65757634,0,0,0,0,0,0,0,0,0,0,0
F6,forest,chewing,284.0439073,,,0,0,0,0,0,0,0,0,0,0,0,0,86.43557789,0,0,0,0,0,0,0,0,0,146.9168027,0,0,0,0,0,0,0,0,0,0,0,0,0,50.69152672,0,0,0,0,0,0,0,0,0,0,0
F7,forest,chewing,194.2271356,,,0,0,0,0,0,0,0,0,0,0,0,3.560076389,14.40592965,0,0,0,0,0,0,0,0,0,164.5720408,0,0,0,0,0,0,4.419127747,0,0,0,0,0,0,0,0,0,0,5.663961039,0,0,0,0,1.606,0,0
F2,forest,chewing,205.5164369,,,0,0,0,0,0,0,0,0,0,0,0,5.430625,14.40592965,0,0,0,0,0,0,0,0,0,171.3503912,0,0,0,0,0,0,8.838255495,0,0,0,0,0,0,0.960066794,0,0,0,4.531168831,0,0,0,0,0,0,0
F3,forest,chewing,473.5850412,,,0,0,0,0,0,0,0,0,0,0,0,2.413611111,10.80444724,0,0,0,0,0,0,0,0,0,424.8291667,1.972547368,0,0,0,0,0,16.20346841,0,0,14.4816,0,0,0,2.880200382,0,0,0,0,0,0,0,0,0,0,0
S1,savanna,chewing,16.16540074,,,0,0,0,0,0.945949896,0,0.05462963,0,0,0,0,0,0,0,0,0,0.261623665,0,0,0,1.220757143,0,0,0,0,0,0.075239884,0,0,0,12.45692707,0,0,0,0,0,0,0.205514507,0,0,0,0,0,0,0,0,0,0.944758945
S10,savanna,chewing,23.74996642,,,0,0.002057927,0,0,0.175676409,0,0,0,0,0,0,0,0,0,0,22.51034483,0.160999178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428508604,0,0,0,0,0,0,0,0.472379473
S11,savanna,chewing,8.489894398,,,0,0,0,0,0.621624217,0,0.05462963,0.003638158,0,0,0,0,0,0,0.454006211,0,0.321998357,0,0,0,1.220757143,0,0,0,0,0,0.451439306,0,0,0,0,0,0,0,0,0,0,2.055145068,0,0,0,0,0,0,0,0,0,3.306656309
S13,savanna,chewing,61.77428325,,,0,0,0,0,0.01351357,0,0.163888889,0.032743421,0,0,0,0,0,0,0,7.034482759,0.140874281,4.861339623,0,0,0,0,0,0,3.785257143,0,3.160075145,10.16144444,0.768826271,0.081658354,8.124082873,0,11.17768525,0,0,1.579988372,0,2.260659574,3.553297872,0,0,4.080328767,0.794136646,0,0,0,0,0
S19,savanna,chewing,66.35617154,,,0,0.005144817,0,0,0.891895616,0,0.012139918,0,0,0,0,0,0,0,0,1.406896552,0.045281019,0,0,0,14.64908571,0,0,0,0,0,0,0,1.153239407,0,26.53867072,16.6062375,1.442281967,0,0,0,0,1.644116054,0,0,0,0.544043836,0,0,0,0,0,1.417138418
S2,savanna,chewing,18.17191398,,,0,0,0,0,0.08108142,0,0.060699588,0.003638158,0,0,0,0,0,0,1.362018634,0,0.080499589,0.096264151,0,0,6.103785714,0,0,0,0.473157143,0,0,0,1.922065678,0.163316708,5.957660773,0,0,0,0.009356071,0,0,1.644116054,0,0.214254302,0,0,0,0,0,0,0,0
S20,savanna,chewing,141.6206352,,,0,0.000685976,0,0,1.783791232,0,0.018209877,0,0,0,0,0,0,0,0,0,0.060374692,3.272981132,0,0,0,0,0,0,0,0,0,0,0,0,136.4845923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S21,savanna,chewing,11.58252452,,,0,0.001371951,0,0,1.270275574,0,0,0,0,0,0,0,0,0,0,0,0.201248973,3.513641509,0,0,2.441514286,0,0,0,0.157719048,0,0,0,0,0,3.791238674,0,0,0,0,0,0,0.205514507,0,0,0,0,0,0,0,0,0,0
S22,savanna,chewing,3.012153302,,,0,0,0,0,0.878382046,0,0.012139918,0.003638158,0,0,0,0,0,0,0,0,0.005031224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263331395,0,1.849630561,0,0,0,0,0,0,0,0,0,0
S24,savanna,chewing,1.823034923,,,0,0.012690549,0,0,0.648651357,0,0.036419753,0,0,0,0,0,0,0,0,0,0.110686935,0.192528302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.822058027,0,0,0,0,0,0,0,0,0,0
S25,savanna,chewing,5.729889561,,,0,0.008574695,0,0,0.297298539,0,0,0,0,0,0,0,0,0,0,1.406896552,0.155967954,0,0,0,0,0,0,0,0.157719048,0,0,0,0.192206568,0,0,0,0,0,0,0,0,3.082717602,0,0.428508604,0,0,0,0,0,0,0,0
S27,savanna,chewing,7.01912618,,,0,0.003772866,0,0,0.554056367,0,0.006069959,0.014552632,0,0,0,0,0,0,0,2.813793103,0.010062449,0.192528302,0,0,0,0,0,0,0,0,0.075239884,0,0,0,2.166422099,0,0.360570492,0,0,0,0,0.822058027,0,0,0,0,0,0,0,0,0,0
S30,savanna,chewing,9.818599398,,,0,0,0,0,0.878382046,0,0,0.010914474,0,0,0,0,0,0,0,1.406896552,0.065405916,0,0,0,0,0,0,0,0,0,0,0,0.576619703,0,5.416055249,0.1085375,0,0,0,0,0,0.411029014,0,0,0,0,0,0,0,0,0,0.944758945
S4,savanna,chewing,5.128457267,,,0,0.000685976,0,0,1.797304802,0,0.006069959,0,0,0,0,0,0,0,0,0,0.135843057,0.770113208,0,0,0,0,0,0,0,0,0,0,0.576619703,0,0,0,0.721140984,0,0.018712142,0,0,0.61654352,0,0,0,0,0,0,0,0,0.013044444,0.472379473
S46,savanna,chewing,12.06422237,,,0,0.008917683,0,0,0.189189979,0,0.018209877,0,0,0,0,0,0,0,3.632049689,0,0.110686935,0.096264151,0,0,3.662271429,0,0,0,0,0,0.150479769,0,1.72985911,0.163316708,0,0,0,0,0.084204638,0,0,2.055145068,0,0,0,0,0,0.018929293,0.144698039,0,0,0
S49,savanna,chewing,1.070295735,,,0,0,0,0.012179641,0.594597077,0,0.018209877,0.003638158,0,0,0,0,0,0,0,0,0.216342646,0,0,0,0,0,0,0,0,0,0.150479769,0,0,0,0,0,0,0,0.074848568,0,0,0,0,0,0,0,0,0,0,0,0,0
S5,savanna,chewing,1.213876935,,,0,0.009260671,0,0,1.067572025,0,0.036419753,0,0,0,0,0,0,0,0,0,0.100624486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S50,savanna,chewing,3.546286964,,,0,0,0,0.00202994,0,0.245740458,0,0,0,0,0,0,0,0,0,0,0.171061627,0,0,0,0,0,0,0,0,0,0,0,0.961032839,0,2.166422099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S52,savanna,chewing,2.596348182,,,0.00547619,0,0,0.064958084,0.148649269,0,0.048559671,0,0,0,0,0,0,0,0,0,0.065405916,0,0,0,0,0,0,0,1.577190476,0,0,0,0,0.081658354,0,0,0,0,0.037424284,0,0,0,0,0,0,0,0,0.094646465,0,0,0,0.472379473
S53,savanna,chewing,0.857599374,,,0,0,0,0.119766467,0,0.020478372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244975062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.472379473
S55,savanna,chewing,2.434688902,,,0,0,0,0,0,0.061435115,0,0,0,0,0,0,0,0,0,0,0.015093673,0,0,0,0,0,0,0,0,0,0,1.693574074,0.192206568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.472379473
S58,savanna,chewing,3.23894802,,,0,0,0,0.085257485,0,0.122870229,0,0,0,0,0,0,0,0,0,0,0.030187346,0,0,0,0,0,0,0,1.892628571,0,0.075239884,0,0,0.163316708,0,0,0,0,0,0,0,0,0,0,0,0,0.397068323,0,0,0,0,0.472379473
S7,savanna,chewing,1.907549771,,,0,0.002400915,0,0,0,0,0.018209877,0.003638158,0,0,0,0,0,0,0,0,0.321998357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61654352,0,0,0,0,0,0,0,0,0,0.944758945
S8,savanna,chewing,3.292485578,,,0,0,0,0,0.05405428,0,0.024279835,0,0,0,0,0,0,0,0,0,0.377341824,0.048132075,0,0,0,0,0,0,0,0,0,0,0,0,1.08321105,0,0,0,0,0,0,1.233087041,0,0,0,0,0,0,0,0,0,0.472379473
S9,savanna,chewing,9.10028517,,,0,0,0,0,0.121622129,0,0.006069959,0,0,0,0,0,0,0,0,0,0.306904684,0,0,0,0,0,0,0,0,0,0,0,0,0,8.665688398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T23,thicket,chewing,131.7690216,,,0,0,0,0,0,0,0,0.005238318,0,0,0,0,0,0,0,3.203504464,0.135313472,0,0,0,0,0,0,0,0.998091153,0,21.37109528,0.889663987,0,2.365192982,0,0,55.59943396,0,0,2.161833333,0,0,0,0,0,20.39316864,17.79362952,0.043477151,0,0,0,6.80937931
T17,thicket,chewing,121.9313196,,,0,0,0,0,0,0,0,0,0,0,0.697409722,0,0,0,0,0,0.035608808,0,0.043135666,17.22575342,0,0,0,0,27.19798391,0,29.79227993,0,1.773420732,12.00790283,0,0,0,0.516970588,0,0,0,0,5.176551724,0,0,0,21.26555723,1.024818548,0.840685106,0,0,4.333241379
T22,thicket,chewing,47.99728338,,,0.01637037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.430013333,0,5.639383562,0,0,0,0,6.154895442,0,5.576695616,2.224159968,0,4.23005668,0,0,1.785849057,0,0,7.206111111,0,0,0,0,0,0,1.08497741,11.64877083,0,0,0,0
T24,thicket,chewing,56.02274828,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3590625,0,0,0,0,0,0,0,0,0,0,19.94885076,0,0,13.69082861,1.454589928,0,0,0,0,0,0,0,0,0,0,6.766683051,12.80273343,0,0,0,0,0
T13,thicket,chewing,127.4354198,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017804404,0,0.703111348,2.768424658,0,0,0,0,8.026316354,0.223447368,38.475457,0,0,8.642051282,0,0.077727273,0.595283019,0.552073529,0,0,0,0,0,0,0,0,67.05160392,0,0.300244681,0,0.001875,0
T9,thicket,chewing,96.2480911,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053413212,0,1.992867747,5.793184932,0,0,0,0,10.02249866,0,19.35001096,5.782815916,0,14.23664238,0,0,0,0,0,12.25038889,0,0,0,0,0,0,0,7.040192876,19.72607553,0,0,0
T12,thicket,chewing,119.0104537,,,0,0,0,0,0,0,0,0.001378505,0,0,0,0,0,0,0,0,0,0,4.158278157,10.5610274,0,0,0,0,11.76915818,1.295994737,44.01472513,2.097065113,0,10.55239946,0,0,0,0,0,15.22290972,0,0,0,0,0,0,9.547801205,4.872546371,4.143376596,0,0,0.773793103
F1,forest,mining,103.2744387,,,0,0,0,0,0,0,0,0,0,0,0,0.038333333,1.788869347,0,0,0,0,0,0,0,0,0,101.3730434,0.074192632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F4,forest,mining,160.55965,,,0,0,0,0,0,0,0,0,0,0,0,0.070277778,2.044422111,0.611218905,0,0,0,0,0,0,0,1.839989691,152.22171,0.026497368,0,0,0,0,0,0.855288462,0,0,0,0,0,0,1.783492366,0,0,0,1.106753247,0,0,0,0,0,0,0
F5,forest,mining,59.95403754,,,0,0,0,0,0,0,0,0,0,0,0,0,8.177688442,0.611218905,0,0,0,0,0,0,0,17.08561856,31.97499065,0,0,0,0,0,0,0,0,0,0,0,0,0,2.104520992,0,0,0,0,0,0,0,0,0,0,0
F6,forest,mining,71.28933584,,,0,0,0,0,0,0,0,0,0,0,0,0,6.133266332,0,0,0,0,0,0,0,0,0,60.44764966,0,0,0,0,0,0,0,0,0,0,0,0,0,4.708419847,0,0,0,0,0,0,0,0,0,0,0
F7,forest,mining,70.98564415,,,0,0,0,0,0,0,0,0,0,0,0,0.037694444,1.022211055,0,0,0,0,0,0,0,0,0,67.7117449,0,0,0,0,0,0,0.366552198,0,0,0,0,0,0,0,0,0,0,1.383441558,0,0,0,0,0.464,0,0
F2,forest,mining,73.50938192,,,0,0,0,0,0,0,0,0,0,0,0,0.0575,1.022211055,0,0,0,0,0,0,0,0,0,70.50063861,0,0,0,0,0,0,0.733104396,0,0,0,0,0,0,0.089174618,0,0,0,1.106753247,0,0,0,0,0,0,0
F3,forest,mining,178.0172883,,,0,0,0,0,0,0,0,0,0,0,0,0.025555556,0.766658291,0,0,0,0,0,0,0,0,0,174.7922917,0.158984211,0,0,0,0,0,1.344024725,0,0,0.66225,0,0,0,0.267523855,0,0,0,0,0,0,0,0,0,0,0
S1,savanna,mining,7.432423319,,,0,0,0,0,0.008329854,0,0.000839506,0,0,0,0,0,0,0,0,0,0.006067379,0,0,0,1.16657619,0,0,0,0,0,0.068145954,0,0,0,5.512375691,0,0,0,0,0,0,0.134580271,0,0,0,0,0,0,0,0,0,0.535508475
S10,savanna,mining,7.40579042,,,0,0.033338415,0,0,0.001546973,0,0,0,0,0,0,0,0,0,0,6.811103448,0.003733772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.288313576,0,0,0,0,0,0,0,0.267754237
S11,savanna,mining,5.141115769,,,0,0,0,0,0.005473904,0,0.000839506,6.14E-05,0,0,0,0,0,0,0.33173913,0,0.007467543,0,0,0,1.16657619,0,0,0,0,0,0.408875723,0,0,0,0,0,0,0,0,0,0,1.345802708,0,0,0,0,0,0,0,0,0,1.874279661
S13,savanna,mining,36.12363131,,,0,0,0,0,0.000118998,0,0.002518519,0.000552632,0,0,0,0,0,0,0,2.128469828,0.00326705,2.108526587,0,0,0,0,0,0,1.648971429,0,2.862130058,5.662111111,0.296588983,0.036852868,3.595027624,0,11.72877377,0,0,0.897209302,0,1.480382979,0.334946809,0,0,2.518561644,0.818621118,0,0,0,0,0
S19,savanna,mining,39.71933847,,,0,0.083346037,0,0,0.007853862,0,0.000186557,0,0,0,0,0,0,0,0,0.425693966,0.001050123,0,0,0,13.99891429,0,0,0,0,0,0,0,0.444883475,0,11.74375691,9.28455,1.513390164,0,0,0,0,1.076642166,0,0,0,0.335808219,0,0,0,0,0,0.803262712
S2,savanna,mining,12.4798663,,,0,0,0.725,0,0.000713987,0,0.000932785,6.14E-05,0,0,0,0,0,0,0.995217391,0,0.001866886,0.041753002,0,0,5.832880952,0,0,0,0.206121429,0,0,0,0.741472458,0.073705736,2.636353591,0,0,0,0.002987722,0,0,1.076642166,0,0.144156788,0,0,0,0,0,0,0,0
S20,savanna,mining,61.84456668,,,0,0.011112805,0,0,0.015707724,0,0.000279835,0,0,0,0,0,0,0,0,0,0.001400164,1.419602058,0,0,0,0,0,0,0,0,0,0,0,0,60.39646409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S21,savanna,mining,5.776182543,,,0,0.02222561,0,0,0.011185804,0,0,0,0,0,0,0,0,0,0,0,0.004667214,1.523984563,0,0,2.333152381,0,0,0,0.068707143,0,0,0,0,0,1.677679558,0,0,0,0,0,0,0.134580271,0,0,0,0,0,0,0,0,0,0
S22,savanna,mining,1.368856826,,,0,0,0,0,0.007734864,0,0.000186557,6.14E-05,0,0,0,0,0,0,0,0,0.00011668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149534884,0,1.211222437,0,0,0,0,0,0,0,0,0,0
S24,savanna,mining,0.836252515,,,0,0.20558689,0,0,0.0057119,0,0.000559671,0,0,0,0,0,0,0,0,0,0.002566968,0.083506003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.538321083,0,0,0,0,0,0,0,0,0,0
S25,savanna,mining,3.020711098,,,0,0.138910061,0,0,0.002617954,0,0,0,0,0,0,0,0,0,0,0.425693966,0.003617091,0,0,0,0,0,0,0,0.068707143,0,0,0,0.074147246,0,0,0,0,0,0,0,0,2.018704062,0,0.288313576,0,0,0,0,0,0,0,0
S27,savanna,mining,2.94495414,,,0,0.061120427,0,0,0.004878914,0,9.33E-05,0.000245614,0,0,0,0,0,0,0,0.851387931,0.000233361,0.083506003,0,0,0,0,0,0,0,0,0.068145954,0,0,0,0.958674033,0,0.378347541,0,0,0,0,0.538321083,0,0,0,0,0,0,0,0,0,0
