plot_diversityAlpha,ACA_BUR,ACA_CAF,ACA_GER,ACA_GRA,ACA_KAR,ACA_NIG,ACA_NIL,ACA_ROB,BRA_ILL,CAN_INE,CEL_AFR,CHA_ARI,COM_MOL,COR_CAF,DIC_CIN,DIO_DIC,DIO_NAT,DIO_SIM,DOM_ROT,DRY_ARG,ENG_NAT,ERY_EMA,EUC_DIV,EUC_NAT,EUC_RAC,GRE_FLA,GYM_BUX,GYM_HAR,GYM_MAR,HIP_PAU,KRA_FLO,OLE_EUR,ORM_TRI,PLE_ARM,RAW_LUC,RHU_PEN,SCH_BRA,SCL_BIR,SCO_ZEY,SCU_MYR,SID_INE,SPI_AFR,TAR_CAM,TAR_PAV,ZAN_CAP,ZIZ_MUC
6,0,0,0,0,0,0,0,0,0,0.038333333,1.788869347,0,0,0,0,0,0,0,0,0,101.3730434,0.074192632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.21,0,0,0,0,0,0,0,0,0,0.070277778,2.044422111,0.611218905,0,0,0,0,0,0,0,1.839989691,152.22171,0.026497368,0,0,0,0,0,0.855288462,0,0,0,0,0,0,1.783492366,0,0,0,1.106753247,0,0,0,0,0,0,0
7.85,0,0,0,0,0,0,0,0,0,0,8.177688442,0.611218905,0,0,0,0,0,0,0,17.08561856,31.97499065,0,0,0,0,0,0,0,0,0,0,0,0,0,2.104520992,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,6.133266332,0,0,0,0,0,0,0,0,0,60.44764966,0,0,0,0,0,0,0,0,0,0,0,0,0,4.708419847,0,0,0,0,0,0,0,0,0,0,0
10.32,0,0,0,0,0,0,0,0,0,0.037694444,1.022211055,0,0,0,0,0,0,0,0,0,67.7117449,0,0,0,0,0,0,0.366552198,0,0,0,0,0,0,0,0,0,0,1.383441558,0,0,0,0,0.464,0,0
10.4,0,0,0,0,0,0,0,0,0,0.0575,1.022211055,0,0,0,0,0,0,0,0,0,70.50063861,0,0,0,0,0,0,0.733104396,0,0,0,0,0,0,0.089174618,0,0,0,1.106753247,0,0,0,0,0,0,0
18.95,0,0,0,0,0,0,0,0,0,0.025555556,0.766658291,0,0,0,0,0,0,0,0,0,174.7922917,0.158984211,0,0,0,0,0,1.344024725,0,0,0.66225,0,0,0,0.267523855,0,0,0,0,0,0,0,0,0,0,0
3.79,0,0,0,0,0.007734864,0,1.87E-04,6.14E-05,0,0,0,0,0,0,1.17E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149534884,0,1.211222437,0,0,0,0,0,0,0,0,0,0
4.79,0,0,0,0,0.008329854,0,8.40E-04,0,0,0,0,0,0,0,0.006067379,0,0,0,1.16657619,0,0,0,0,0,0.068145954,0,0,0,5.512375691,0,0,0,0,0,0,0.134580271,0,0,0,0,0,0,0,0,0,0.535508475
6.17,0,0.033338415,0,0,0.001546973,0,0,0,0,0,0,0,0,6.811103448,0.003733772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.288313576,0,0,0,0,0,0,0,0.267754237
14.01,2.128469828,0,0,0.153329341,0.005473904,0,8.40E-04,6.14E-05,0,0,0,0,0.33173913,0,0.007467543,0,0,0,1.16657619,0,0,0,0,0,0.408875723,0,0,0,0,0,0,0,0,0,0,1.345802708,0,0,0,0,0,0,0,0,0,1.874279661
9,0,0,0,0,1.19E-04,0,0.002518519,5.53E-04,0,0,0,0,0,2.128469828,0.00326705,2.108526587,0,0,0,0,0,0,1.648971429,0,2.862130058,5.662111111,0.296588983,0.036852868,3.595027624,0,11.72877377,0,0,0.897209302,0,1.480382979,0.334946809,0,0,2.518561644,0.818621118,0,0,0,0,0
12.46,0,0.083346037,0,0,0.007853862,0,1.87E-04,0,0,0,0,0,0,0.425693966,0.001050123,0,0,0,13.99891429,0,0,0,0,0,0,0,0.444883475,0,11.74375691,9.28455,1.513390164,0,0,0,0,1.076642166,0,0,0,0.335808219,0,0,0,0,0,0.803262712
13.15,0,0,0.725,0,7.14E-04,0,9.33E-04,6.14E-05,0,0,0,0,0.995217391,0,0.001866886,0.041753002,0,0,5.832880952,0,0,0,0.206121429,0,0,0,0.741472458,0.073705736,2.636353591,0,0,0,0.002987722,0,0,1.076642166,0,0.144156788,0,0,0,0,0,0,0,0
4.12,0,0.011112805,0,0,0.015707724,0,2.80E-04,0,0,0,0,0,0,0,0.001400164,1.419602058,0,0,0,0,0,0,0,0,0,0,0,0,60.39646409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.58,0,0.02222561,0,0,0.011185804,0,0,0,0,0,0,0,0,0,0.004667214,1.523984563,0,0,2.333152381,0,0,0,0.068707143,0,0,0,0,0,1.677679558,0,0,0,0,0,0,0.134580271,0,0,0,0,0,0,0,0,0,0
5.4,0,0.20558689,0,0,0.0057119,0,5.60E-04,0,0,0,0,0,0,0,0.002566968,0.083506003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.538321083,0,0,0,0,0,0,0,0,0,0
4.5,0,0.138910061,0,0,0.002617954,0,0,0,0,0,0,0,0,0.425693966,0.003617091,0,0,0,0,0,0,0,0.068707143,0,0,0,0.074147246,0,0,0,0,0,0,0,0,2.018704062,0,0.288313576,0,0,0,0,0,0,0,0
8.34,0,0.061120427,0,0,0.004878914,0,9.33E-05,2.46E-04,0,0,0,0,0,0.851387931,2.33E-04,0.083506003,0,0,0,0,0,0,0,0,0.068145954,0,0,0,0.958674033,0,0.378347541,0,0,0,0,0.538321083,0,0,0,0,0,0,0,0,0,0
7.15,0,0,0,0,0.007734864,0,0,1.84E-04,0,0,0,0,0,0.425693966,0.001516845,0,0,0,0,0,0,0,0,0,0,0,0.222441737,0,2.396685083,0.060683333,0,0,0,0,0,0.269160542,0,0,0,0,0,0,0,0,0,0.535508475
6.62,0,0.011112805,0,0,0.015826722,0,9.33E-05,0,0,0,0,0,0,0,0.00315037,0.334024014,0,0,0,0,0,0,0,0,0,0,0.222441737,0,0,0,0.756695082,0,0.005975443,0,0,0.403740812,0,0,0,0,0,0,0,0,0.002933333,0.267754237
15.27,0,0.144466463,0,0.153329341,0.001665971,0,2.80E-04,0,0,0,0,0,2.653913043,0,0.002566968,0.041753002,0,0,3.499728571,0,0,0,0,0,0.136291908,0,0.667325212,0.073705736,0,0,0,0,0.026889495,0,0,1.345802708,0,0,0,0,0,0.039717172,0.022156863,0,0,0
6.38,0.011112805,0,0.5,0.015592814,0.005235908,0,2.80E-04,6.14E-05,0,0,0,0,0,0,0.005017256,0,0,0,0,0,0,0,0,0,0.136291908,0,0,0,0,0,0,0,0.023901774,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0.150022866,0,0,0.009400835,0,5.60E-04,0,0,0,0,0,0,0,0.002333607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.38,0,0,0,0.002598802,0,0.080549618,0,0,0,0,0,0,0,0,0.003967132,0,0,0,0,0,0,0,0,0,0,0,0.370736229,0,0.958674033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.4,0,0,0,0.083161677,0.001308977,0,7.46E-04,0,0,0,0,0,0,0,0.001516845,0,0,0,0,0,0,0,0.687071429,0,0,0,0,0.036852868,0,0,0,0,0.011950887,0,0,0,0,0,0,0,0,0.198585859,0,0,0,0.267754237
1.95,0,0,0,0.153329341,0,0.006712468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110558603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267754237
1.95,0,0,0,0,0,0.020137405,0,0,0,0,0,0,0,0,3.50E-04,0,0,0,0,0,0,0,0,0,0,0.943685185,0.074147246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267754237
4.15,0,0,0,0.109149701,0,0.040274809,0,0,0,0,0,0,0,0,7.00E-04,0,0,0,0,0,0,0,0.824485714,0,0.068145954,0,0,0.073705736,0,0,0,0,0,0,0,0,0,0,0,0,0.409310559,0,0,0,0,0.267754237
4.89,0,0.038894817,0,0,0,0,2.80E-04,6.14E-05,0,0,0,0,0,0,0.007467543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.403740812,0,0,0,0,0,0,0,0,0,0.535508475
3.53,0,0,0,0,4.76E-04,0,3.73E-04,0,0,0,0,0,0,0,0.008751027,0.020876501,0,0,0,0,0,0,0,0,0,0,0,0,0.479337017,0,0,0,0,0,0,0.807481625,0,0,0,0,0,0,0,0,0,0.267754237
2.4,0,0,0,0,0.001070981,0,9.33E-05,0,0,0,0,0,0,0,0.007117502,0,0,0,0,0,0,0,0,0,0,0,0,0,3.834696133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.27,0,0,0,0.080549618,0,0,0,0.003995327,0,0,0,0,0,0,0.013142487,0,0,0,0,0,0,0,0.595560322,0,7.080929595,0.046602894,0,0.718017544,0,0,7.696137972,0,0,0.892777778,0,0,0,0,0,0.60800339,10.43153614,0.026005376,0,0,0,3.716293103
11.4,0,0,0,0,0,0,0,0,0.288388889,0,0,0,0,0,0.003458549,0,0.043430034,6.704657534,0,0,0,0,16.22901877,0,9.87113828,0,0.063128049,3.645319838,0,0,0,0.022830882,0,0,0,0,1.468209549,0,0,0,12.46695783,0.612983871,0.115902128,0,0,2.364913793
4.72,0.008703704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036973333,0,2.194977169,0,0,0,0,3.672621984,0,1.847738196,0.116507235,0,1.284146761,0,0,0.247199292,0,0,2.975925926,0,0,0,0,0,0,0.636069277,6.967583333,0,0,0,0
7.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.609694351,0,0,4.156216937,0,0,0,0,0,0,0,0,0,0,0,0.201742373,7.50561747,0,0,0,0,0
6.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001729275,0,0.707909556,1.077534247,0,0,0,0,4.789297587,0.039144737,12.74815346,0,0,2.623525641,0,0.082534091,0.082399764,0.024381127,0,0,0,0,0,0,0,0,39.30908133,0,0.041393617,0,0.002592593,0
9.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005187824,0,2.006467577,2.254840183,0,0,0,0,5.980418231,0,6.411279511,0.30291881,0,4.321913293,0,0,0,0,0,5.059074074,0,0,0,0,0,0,0,4.211013441,2.719560638,0,0,0
6.49,0,0,0,0,0,0,0,0.001051402,0,0,0,0,0,0,0,0,4.18665529,4.110593607,0,0,0,0,7.022648794,0.227039474,14.58349073,0.109849678,0,3.203462888,0,0,0,0,0,6.286643519,0,0,0,0,0,0,5.597409639,2.914459677,0.571231915,0,0,0.422306034
